"x"
"SD"
"WY"
"OK"
"NV"
"PA"
"IN"
"CA"
"MT"
"TX"
"AZ"
"IL"
"OH"
"NM"
"NY"
"NH"
"VA"
"CT"
"MO"
"SC"
"NJ"
"WI"
"OR"
"NE"
"TN"
"KS"
"KY"
"CO"
"GA"
"MN"
"WA"
"FL"
"NC"
"MS"
"UT"
"RI"
"AR"
"MI"
"IA"
"ID"
"WV"
"DE"
"LA"
"ND"
"AL"
"MD"
"MA"
"DC"
"ME"
"VT"
